rows,50
columns,11
x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,F12
-1,-4,-3,2,-5,1,-1,-3,-4,-1,-8
-5,4,-5,-2,-5,3,0,-3,4,-4,35
-3,0,-2,4,-5,-2,3,2,-1,-1,7
2,2,3,-4,-4,4,-3,-2,1,1,-18
-2,-3,4,-4,4,2,-2,-5,-3,0,-14
1,4,-2,0,5,-5,1,0,2,0,-19
0,1,5,2,2,5,3,1,-1,1,45
2,-5,5,-5,2,4,4,2,-3,-4,-131
-1,5,5,-1,5,4,3,2,4,-2,-42
-2,-2,0,4,-1,-1,-3,-5,-3,-2,-13
-4,-4,-1,5,1,-1,5,3,1,3,-7
5,5,3,0,-2,2,2,0,0,-4,-3
2,-1,0,-1,-3,0,0,4,-5,-1,-2
0,3,-1,3,-5,-3,-5,3,-3,-2,6
-3,4,-2,3,3,0,-5,1,-4,2,-78
-2,-1,4,-4,-1,-3,-1,-4,0,1,-23
1,3,-1,-3,-1,-3,-2,2,3,-1,0
0,-4,2,-1,5,-2,0,2,-1,-5,8
-3,0,3,0,3,4,5,4,5,-1,-75
5,5,-4,2,3,-5,0,2,-4,5,102
0,4,5,3,2,2,-5,-4,-1,-4,-21
-1,-3,3,0,-3,-4,2,4,-2,-4,67
1,-1,2,-5,5,-2,-5,1,-5,-1,8
-2,-3,2,3,-4,2,0,4,5,-4,-12
-3,2,2,-4,2,-1,1,-3,3,-3,-19
-2,3,2,2,1,-1,2,-1,-3,5,-1
-2,0,5,5,4,0,-1,5,-1,-5,23
-2,-2,-5,-1,1,-4,5,3,2,2,25
0,2,5,-3,2,-5,3,4,-4,2,-75
1,3,3,-1,2,4,-1,1,4,1,16
-3,-5,-5,-2,-1,-2,1,4,-4,5,89
-5,2,-2,2,4,-1,0,3,-1,-1,-20
-5,4,2,1,-2,3,0,0,5,1,-18
-3,-3,1,5,0,0,-5,1,5,-1,89
2,5,0,-3,-4,0,5,-2,0,-5,10
-4,2,4,-4,-1,3,4,3,4,-5,-151
-5,-2,4,4,-4,4,2,-2,-4,0,50
4,5,2,2,3,5,1,-2,3,0,51
2,-4,4,-2,-5,1,4,-2,-2,-3,-49
4,-4,-3,1,-5,4,3,0,-4,4,-135
1,5,0,5,0,3,0,3,0,-3,5
-2,4,1,1,4,3,-5,2,-1,-4,-17
4,2,3,2,-1,1,2,5,-2,5,12
-1,-4,-2,2,4,0,-2,2,4,4,8
1,-5,-2,3,-2,1,-4,-5,1,5,-27
0,-2,2,-4,0,-4,-1,1,-3,-5,32
2,3,-5,-4,-5,-3,3,1,2,-3,8
-1,0,-5,-5,-1,-1,5,-4,3,5,36
-2,5,-1,0,2,1,-4,3,-3,1,-33
4,-3,2,-4,5,0,-1,-4,2,5,-28
