rows,100
columns,11
x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,F12
-3,-4,2,-5,0,-5,4,0,-4,-4,90
-2,0,2,-4,-3,2,4,4,3,5,-18
0,0,3,2,1,2,-3,1,2,2,20
2,2,4,3,5,-3,2,-3,4,-5,77
-3,-1,-1,-4,5,0,-1,1,-2,-2,1
-4,4,5,-2,-3,-1,-4,3,5,-4,77
5,-4,-4,-3,5,-4,4,2,-2,-5,-148
-2,0,-2,5,5,-5,2,4,0,3,-5
5,-5,5,1,0,-4,-5,1,3,-3,-35
5,0,4,-1,-1,-5,2,0,4,1,21
0,-1,-3,-4,-5,2,-1,5,1,-2,14
3,-1,2,-3,-1,-2,2,4,2,1,1
2,-2,0,-3,1,-2,-2,3,0,-3,-6
1,0,2,0,-3,-4,-3,-4,2,-5,46
2,-5,-1,1,2,-1,-3,-2,2,4,-21
3,1,-1,1,4,-1,2,0,2,-4,6
-4,-4,4,-3,-3,-1,-5,1,-1,1,-17
5,2,-1,-2,3,3,-2,-2,4,2,-25
1,5,-1,-3,3,4,-4,-1,4,2,-4
3,-1,0,-1,1,3,-4,-1,-4,1,48
-4,1,2,-1,1,-3,0,0,-2,5,-39
-3,3,5,5,1,0,-5,5,-1,4,1
-3,-2,4,-2,-5,4,4,1,-5,-2,6
4,3,5,-4,4,-2,-1,-5,5,3,-66
-3,-3,3,4,3,1,-1,0,2,-1,27
-2,3,2,-1,3,-2,1,-3,4,-1,-18
-5,-2,2,2,2,-3,3,1,-2,5,8
1,3,-1,-4,0,1,-3,3,-1,5,5
1,4,5,3,4,4,-3,3,-5,4,130
1,4,-3,-4,-3,4,-5,-1,-4,-4,72
5,-3,2,3,0,-5,1,-1,2,-1,11
2,3,-1,-2,5,-1,-1,0,5,-1,-8
-2,3,3,-1,-5,-5,-2,1,4,4,-28
2,2,0,1,-5,-5,-1,2,4,-4,21
3,5,4,4,0,5,3,-2,-2,1,33
-4,4,-5,0,2,-1,-3,-2,1,2,4
0,4,-4,0,-2,-1,-2,-5,-3,1,6
4,1,4,0,1,-3,5,1,1,-1,33
0,-3,4,1,-2,0,-5,-5,2,3,4
0,3,-2,1,-5,-1,0,-4,2,4,11
4,-3,2,2,-4,3,-4,-5,5,3,-82
1,1,4,0,-3,1,2,3,0,-2,-10
-4,-3,-5,2,3,5,5,5,5,-4,17
1,2,5,5,5,-5,-1,4,3,4,-101
-4,2,1,1,2,-2,2,-5,5,-4,-43
5,-3,0,-1,-1,-3,-4,4,1,4,-32
-1,1,0,5,-3,3,-1,-2,0,1,-10
2,-5,-1,0,0,-5,-5,-3,-4,-5,5
-5,1,-5,4,4,-4,-2,-1,0,1,-21
0,-5,-5,-5,-3,-1,0,3,-3,-1,23
-3,5,-4,-5,-1,5,-2,2,1,-5,106
-2,3,-5,-3,1,4,4,4,-4,1,25
2,-5,-3,-2,-4,0,0,1,1,-5,-4
3,3,-1,-3,2,-1,2,-4,-5,-1,-21
-3,5,5,5,2,-4,2,-5,4,5,-122
-4,3,1,0,-1,-2,2,-5,-4,-4,30
2,2,1,4,-2,-1,-3,2,-4,5,29
-1,4,5,2,-1,-5,2,3,-1,-3,88
4,2,2,0,5,4,-1,-4,5,-4,-24
0,-2,-4,5,-5,4,-4,2,-2,4,-104
5,1,1,2,3,2,3,-3,1,3,34
4,0,3,-5,-1,1,-4,3,1,-3,-41
5,0,3,5,-1,4,3,-4,-2,0,-19
4,5,-5,-2,4,-4,-3,0,4,-1,-54
5,-3,-2,-2,0,-3,-3,-1,0,-3,-29
-1,-1,-1,4,0,4,4,5,3,-5,5
0,-3,0,-1,-3,0,-4,-3,2,4,0
4,5,-4,3,2,-2,-4,0,0,-3,-20
2,2,3,3,1,0,1,4,5,-4,23
-3,4,-2,5,-5,-3,5,3,0,0,-7
-1,2,-4,5,-4,-4,1,1,0,-5,-86
4,-4,-2,-3,2,3,-1,5,-2,3,-14
-4,1,-2,1,3,2,1,-2,-3,1,8
-1,1,5,-5,2,3,2,0,0,-1,-35
4,4,5,-4,1,0,-2,1,2,1,-20
-5,5,4,2,0,2,-1,-3,4,-3,-21
0,2,4,1,0,3,-1,0,2,5,64
5,-1,2,-3,-4,2,2,-5,-2,-3,-51
4,-2,-2,-3,-3,-2,-5,-2,5,3,-84
5,5,0,-3,-5,4,1,-3,-1,0,0
-4,5,5,0,0,0,1,-4,2,3,-28
-5,3,-4,-2,5,-2,2,4,-3,0,13
3,0,-5,-4,-5,-3,-1,-1,1,-1,17
4,-2,-1,-3,-2,3,-2,-2,3,4,-47
4,-2,0,1,-4,-3,3,1,-3,2,-32
2,3,-5,-1,2,-1,4,-1,-4,2,-13
-2,-3,4,-5,-3,0,0,0,4,5,-14
-4,2,5,-4,-2,0,5,4,4,-5,-108
1,2,3,-5,3,1,-3,0,3,-5,-34
3,-3,4,2,1,-5,5,5,4,4,-26
0,0,-5,-4,-3,-3,-3,1,4,4,89
-3,4,-2,-5,3,4,-5,5,-5,-3,-41
-4,-4,-3,-4,-5,1,-3,-3,-1,-1,14
1,-2,-4,-5,0,0,1,3,5,1,23
5,4,-3,1,1,2,3,4,-3,-2,-14
0,-3,4,1,-1,5,2,0,-3,1,19
3,0,-4,1,-2,-1,-1,-2,-5,1,17
-1,3,5,0,4,3,5,-2,-3,4,84
1,0,5,0,5,1,-2,2,-4,2,23
3,-4,3,-1,3,-2,-3,1,3,1,-54
