rows,1000
columns,7
x1,x2,x3,x4,x5,x6,F14
-1,2,0,4,2,3,inf
-2,-5,4,-1,5,-2,6.25
-2,-5,2,3,3,1,11.25
1,-5,-1,0,-4,-1,inf
2,0,2,0,2,1,inf
1,1,-3,-2,4,0,0.0
-1,-5,3,4,-4,-1,26.666666666666664
5,0,2,-5,3,3,inf
-2,4,3,-1,5,2,6.666666666666667
-1,-3,5,1,5,3,9.0
-1,-3,0,1,3,5,inf
-5,0,-1,0,0,-4,inf
3,5,1,5,-3,1,-25.0
-1,1,0,-2,5,-1,inf
4,4,2,-1,2,2,-2.0
1,-4,5,-1,3,0,0.0
4,3,-4,0,1,-2,inf
3,-2,0,-4,-5,4,inf
-1,-4,1,3,-5,-5,300.0
0,3,-1,4,-4,-4,inf
-4,-4,3,-1,2,-5,3.3333333333333335
-2,-5,-3,1,4,-2,6.666666666666666
4,-3,-1,0,-4,-2,inf
1,-1,-1,3,4,-1,-12.0
4,-5,-5,-2,1,-2,1.0
2,-5,-4,5,5,3,46.87499999999999
4,3,-1,-5,5,2,37.5
-5,-1,-2,-3,1,-1,-0.30000000000000004
-5,-4,-1,-3,0,-2,0.0
5,5,5,-4,1,-2,1.6
-5,1,2,-5,-5,1,-2.5
-3,-3,-3,-4,-4,-1,5.333333333333333
-2,-4,2,3,3,2,18.0
4,-2,0,-4,0,3,inf
-4,0,5,2,1,1,inf
-3,-5,-3,4,5,2,-22.222222222222225
-4,5,-2,0,1,-3,inf
-5,2,3,-1,-3,5,-2.0
5,-5,-2,3,4,-5,-30.0
5,-5,0,4,4,-5,inf
1,0,5,0,2,-5,inf
-3,-3,-4,-5,-2,-2,5.0
-4,-2,-3,5,-3,-2,-5.0
-5,-2,3,3,4,2,3.2
-3,-3,0,2,-5,5,inf
2,0,-4,1,2,4,inf
5,1,-5,2,-2,4,0.64
5,0,3,-5,-2,2,inf
-5,3,3,-4,-1,-5,4.0
1,0,2,-1,3,3,inf
-4,-1,-1,-3,4,5,15.0
-3,5,1,5,-2,-4,-66.66666666666667
-1,-2,3,4,5,-3,-40.0
-4,2,-5,0,-5,-1,inf
-2,2,-5,-2,5,-3,6.0
2,-1,5,4,-1,1,0.4
4,2,1,1,0,-2,0.0
3,-2,-4,4,1,1,0.6666666666666666
0,-5,2,3,2,3,inf
2,3,-4,1,1,-2,0.75
0,5,-3,-3,4,3,inf
4,-4,4,1,0,4,-0.0
-1,4,-4,-4,-2,1,8.0
-4,-3,-2,4,-4,-5,-30.0
-1,2,-5,-4,2,3,-9.6
-2,-3,2,-5,-2,-2,-15.0
2,-3,-5,-3,-4,2,7.199999999999999
0,4,-2,-5,-4,2,inf
1,-1,0,-4,5,-1,inf
-3,-1,-2,-5,0,1,0.0
2,-4,-4,-3,5,3,-22.5
3,-2,5,-4,-5,0,0.0
-5,-2,-2,-3,0,5,0.0
-4,-5,-5,0,-4,-3,inf
5,-3,3,4,-4,-1,-3.2
2,-3,-3,5,-5,-4,50.00000000000001
-3,-5,-3,2,-1,0,-0.0
5,5,3,-5,-5,4,33.333333333333336
3,-1,-4,-5,-3,-2,-2.4999999999999996
-1,3,-2,-1,-5,3,22.5
4,-5,1,-2,0,-2,0.0
2,2,4,1,4,-2,-2.0
-2,-4,-3,-1,3,4,8.0
1,3,-3,-5,5,-3,-75.0
-4,1,-3,2,2,4,1.3333333333333333
-1,4,2,-5,-3,1,-30.0
-1,5,5,5,-5,-4,-100.0
1,-3,-4,-2,-1,2,3.0
-4,-3,4,3,0,-3,0.0
4,-3,5,0,5,2,inf
4,0,4,-4,0,5,inf
4,2,-4,-3,3,5,5.625
-2,2,5,0,5,4,inf
2,-3,5,0,-5,-3,inf
-5,5,0,5,1,-3,inf
-5,2,4,-4,2,-4,-3.2
5,5,-4,4,-5,5,25.0
-3,-4,-2,-2,5,0,0.0
-5,0,2,3,-3,-4,inf
3,-2,2,2,-3,-1,-2.0
1,3,-5,-1,-2,4,-4.800000000000001
0,4,-3,0,-1,-1,inf
-1,1,1,-1,3,4,12.0
-3,4,3,1,1,0,-0.0
5,-2,-4,5,-4,-1,2.0
-4,-1,-2,-4,-1,-4,2.0
0,-4,-5,-2,4,-5,inf
4,-5,4,0,4,-5,inf
3,4,1,4,3,5,80.0
1,-2,-5,0,0,-4,inf
-5,-4,-3,-2,3,-5,-8.0
-2,4,2,2,-1,0,-0.0
0,-4,-2,-2,3,3,inf
-5,3,-2,0,-5,5,inf
-4,-1,3,4,-2,-2,1.3333333333333333
4,0,-5,0,-3,-3,inf
1,-2,-1,-3,-2,-4,-48.0
-4,-1,-5,0,5,-1,inf
-3,-5,-4,2,-4,-4,-13.333333333333334
-4,-3,4,-4,2,1,-1.5
2,-1,-5,1,5,2,1.0
2,5,4,2,-4,3,-15.0
-3,-5,-1,-2,-4,5,-66.66666666666667
-1,-3,-4,5,3,-2,22.5
-2,1,-4,3,5,-5,-9.375
5,4,5,4,1,-3,-1.92
-2,2,-4,0,-5,-2,inf
-1,4,0,-5,4,-2,inf
-3,0,-4,-4,2,4,inf
-3,2,-4,-4,1,0,-0.0
2,-4,-5,1,-3,5,-6.0
2,-4,3,-2,2,-3,-8.0
-3,3,5,0,1,2,inf
3,3,1,-2,1,0,-0.0
2,-5,-3,0,5,-3,inf
-4,2,1,1,5,1,-2.5
4,-2,4,-2,4,5,5.0
-5,-5,1,-1,-4,2,8.0
4,5,3,-4,5,-5,41.66666666666666
0,4,-5,-4,-2,4,inf
-1,-4,3,-4,-1,4,21.333333333333332
4,1,2,-1,-1,5,0.625
-3,3,5,0,1,-3,inf
-5,5,-3,4,-1,4,-5.333333333333333
-4,2,3,-5,-1,5,-4.166666666666667
1,4,-2,2,1,0,-0.0
-2,0,5,1,-5,4,inf
2,4,-4,-3,4,1,6.0
-2,4,1,5,5,4,-200.0
-5,3,-2,-3,1,-4,3.5999999999999996
3,1,-4,1,3,0,-0.0
-1,-1,2,-5,-4,-1,-10.0
-5,-4,-3,-3,0,4,0.0
4,-1,2,4,1,-1,0.5
2,-5,-5,3,-5,-3,22.499999999999996
1,4,-2,2,4,-1,16.0
1,-1,-3,-5,-4,1,6.666666666666667
-4,0,4,-4,-3,-3,inf
5,-4,3,5,5,3,-20.0
-4,3,-3,0,4,-1,inf
-5,0,-2,1,3,2,inf
2,5,1,4,1,4,40.0
-5,-2,0,5,-2,4,inf
-5,3,5,0,-3,4,inf
-1,-3,-2,1,3,5,-22.5
-1,1,1,3,3,2,-18.0
0,-5,-2,4,1,-4,inf
-3,3,3,-4,-3,-5,20.0
1,1,-3,2,-2,4,5.333333333333333
-5,-2,5,-2,5,2,-1.6
0,-5,-5,-2,-4,0,inf
0,-5,4,4,-4,0,inf
-3,-3,1,5,4,2,40.0
5,4,3,1,-1,5,-1.3333333333333333
1,1,-1,3,-4,2,24.0
-3,-3,-5,3,-2,-5,-6.0
-1,-2,4,-2,-4,-1,-4.0
0,-4,2,0,2,5,inf
-1,1,4,-3,-1,1,-0.75
0,-5,4,4,5,2,inf
0,-1,-1,1,2,1,inf
5,-5,-4,0,1,-2,inf
-2,3,-5,-1,5,2,-3.0000000000000004
1,2,-3,-2,-1,-1,1.3333333333333333
2,-4,-2,0,2,0,inf
3,2,2,-1,5,-3,5.0
-1,1,-3,5,1,-4,-6.666666666666667
-5,0,5,2,3,-5,inf
1,4,5,2,-4,5,-32.0
3,-1,-4,0,0,4,inf
-4,-1,0,1,-3,-5,inf
-4,3,1,3,5,1,-11.25
4,-3,5,1,-1,5,0.7500000000000001
0,1,5,5,-5,-5,inf
3,1,-1,4,-3,-4,-16.0
0,2,5,-2,-3,2,inf
-2,1,-2,5,0,4,0.0
0,-1,-3,3,1,5,inf
-4,2,-5,4,1,-5,-2.0
5,1,4,-2,3,-3,0.9
4,-3,0,-1,0,0,inf
-4,5,-1,5,5,-2,-62.499999999999986
-5,-3,-4,1,5,3,-2.25
3,-5,5,5,3,3,-15.0
2,-3,-1,5,-5,-5,187.5
-4,-3,1,3,-4,-2,18.0
1,3,0,1,-2,0,inf
5,2,2,5,-1,5,-5.0
0,-3,3,2,-3,0,inf
3,2,-3,-2,3,5,6.666666666666667
2,-4,-2,4,-5,5,-100.0
4,3,0,3,-1,3,inf
4,4,-2,0,-2,1,inf
2,3,1,-4,3,-3,54.0
4,2,1,-5,-3,-4,-30.0
3,-3,3,-4,4,-3,-16.0
0,-3,-4,5,-1,2,inf
0,5,1,-1,2,5,inf
-1,3,-2,-3,2,-2,18.0
-2,4,-5,2,-2,4,-6.4
-3,2,-4,4,0,-3,0.0
4,4,1,-1,-1,5,5.0
3,3,5,3,-5,0,0.0
4,2,-5,3,3,2,-1.7999999999999998
-1,-1,0,2,5,-2,inf
-2,-1,-1,-4,2,-3,-12.0
2,5,5,4,3,3,18.0
4,3,-3,-1,-3,3,-2.25
5,-4,-4,-1,2,2,-0.8
-3,3,2,4,5,-2,20.0
2,-1,2,1,4,2,-2.0
-3,-2,2,3,0,0,0.0
-4,-2,0,1,4,2,inf
1,1,-3,-3,-3,-3,9.0
5,-3,3,-2,3,0,0.0
-2,3,-4,-5,0,-3,-0.0
-5,5,4,-3,2,2,3.0
