rows,50
columns,7
x1,x2,x3,x4,x5,x6,F14
0,-4,-2,0,5,4,inf
5,0,0,3,3,5,inf
-5,4,-5,-5,4,-3,9.6
-3,-1,-5,-2,5,-5,-3.3333333333333335
0,-3,-5,1,2,-2,inf
-5,1,2,-1,-3,-3,0.9
-2,3,-1,-5,0,-3,-0.0
3,-3,-3,-3,1,0,-0.0
2,2,-4,1,0,-1,-0.0
5,1,5,1,4,1,0.16
-3,-1,-3,0,2,-4,inf
-4,0,-2,4,0,-2,inf
1,4,1,5,-3,-4,240.0
4,5,-4,1,4,-5,6.25
3,-3,2,3,-2,-2,-6.0
-3,-4,2,4,1,-5,-13.333333333333334
3,1,-4,0,-5,1,inf
5,5,5,1,-2,3,-1.2
-4,-4,2,0,5,4,inf
-5,4,-4,-3,1,-1,0.6000000000000001
4,2,4,-5,3,-2,3.75
3,-1,0,2,-2,-2,inf
-4,4,-1,-1,4,1,-4.0
5,2,3,-2,-2,0,-0.0
0,0,3,-3,4,-5,inf
-2,-5,0,5,-4,3,inf
2,4,4,5,3,3,22.5
-5,-2,-1,2,1,3,-2.4
4,3,3,1,-5,-2,2.5
2,4,-5,-5,5,3,30.0
-1,4,4,-4,2,-5,-40.0
3,5,4,5,-2,2,-8.333333333333334
5,5,-5,-2,1,-4,-1.6
-3,2,-1,1,4,-2,-5.333333333333333
-4,-4,4,3,1,-3,-2.25
-4,2,2,-4,4,2,8.0
4,2,-4,1,-2,4,1.0
4,0,-1,2,2,5,inf
0,4,1,2,-5,-2,inf
4,0,-2,5,-2,-4,inf
-1,0,1,1,1,4,inf
5,-1,0,4,-4,-3,inf
3,-4,-4,-3,-3,-1,-3.0
5,3,-2,3,4,1,-3.5999999999999996
-2,-5,-2,1,-3,4,15.0
5,1,-5,-2,5,5,2.0
-5,-2,0,3,3,-1,inf
0,-5,5,0,-3,4,inf
-5,5,0,-5,-5,0,inf
-3,4,0,4,-1,1,inf
