rows,100
columns,7
x1,x2,x3,x4,x5,x6,F14
-5,3,4,4,4,1,-2.4
-5,4,0,-1,-5,3,inf
-4,2,-4,5,4,0,0.0
0,3,1,3,-4,-5,inf
4,4,5,-5,1,-2,2.0
-3,-5,-2,1,0,-2,-0.0
-5,-1,0,-1,1,-2,inf
4,-1,5,4,1,3,-0.6
0,-4,4,1,4,1,inf
1,-4,-2,5,3,-4,-120.0
0,0,-1,0,3,5,inf
-2,3,4,2,-1,-3,-2.25
4,-5,1,-3,3,0,0.0
5,0,1,2,-3,4,inf
0,4,-1,-5,1,2,inf
0,-3,5,-5,-5,-5,inf
3,4,5,0,3,2,inf
-5,-1,1,1,5,2,2.0
3,0,3,-4,4,-3,inf
2,1,-2,1,2,-1,0.5
-5,3,0,4,2,1,inf
4,-2,-2,-1,-4,-2,-2.0
-1,-2,-1,-2,3,-3,-36.0
3,-2,2,-5,-1,-2,3.333333333333333
2,1,4,5,1,-5,-3.125
3,4,-1,-5,5,2,66.66666666666666
-2,1,-1,5,2,-4,-20.0
-4,-5,0,5,5,0,inf
-4,-1,-2,3,1,-3,1.125
-3,-5,-2,-5,4,3,50.0
-3,2,-1,4,3,-1,-8.0
4,3,-1,0,5,-3,inf
-4,5,1,-1,3,1,3.75
1,-1,5,1,-4,-5,-4.0
1,-5,5,5,-5,-5,-125.0
-5,0,-4,4,0,-3,inf
-5,2,5,-2,1,-1,-0.16
-1,2,-3,-5,3,-4,40.0
3,2,-1,-5,4,-5,-66.66666666666666
5,-4,3,5,-1,-2,-2.6666666666666665
2,2,3,-4,-1,5,6.666666666666667
-4,4,4,-1,1,-1,-0.25
0,3,2,0,0,-5,inf
-3,4,-1,2,2,5,26.666666666666668
5,1,-3,0,1,4,inf
-3,1,-5,1,1,5,0.3333333333333333
3,-2,-5,0,2,3,inf
-1,-5,3,-3,0,1,-0.0
-4,1,1,-1,-3,-1,0.75
-1,4,3,-5,-2,3,-40.0
-1,2,-5,4,-1,1,-1.6
-2,-3,1,-2,0,1,-0.0
3,-1,-3,-2,1,-2,0.4444444444444444
-4,5,-2,3,3,1,5.625
4,2,-3,5,5,-5,20.833333333333336
-4,-1,2,4,-1,1,-0.5
1,5,-5,-1,4,4,16.0
1,1,2,0,-5,-4,inf
-3,5,-5,-3,-2,-4,-8.0
2,0,-1,3,-4,3,inf
-1,2,1,1,5,-1,10.0
2,-4,-3,-3,0,-3,-0.0
2,-1,4,-4,1,-3,-1.5
-4,1,5,0,-4,0,inf
-3,4,4,4,1,-2,2.6666666666666665
1,3,-3,0,-4,-2,inf
2,-4,-4,1,0,-2,0.0
3,2,-2,-4,-5,-1,6.666666666666667
-4,1,-3,2,5,5,4.166666666666667
1,5,-2,-4,0,-3,0.0
-3,-4,5,-1,0,-3,-0.0
-5,1,4,4,0,4,-0.0
5,-2,0,-4,3,-5,inf
1,0,3,5,-4,-2,inf
4,-4,0,-2,-4,3,inf
4,-5,5,2,4,5,-10.0
4,4,-4,-2,-1,-5,2.5
-1,-1,-3,-3,2,-3,-6.0
2,-1,2,-4,-5,1,-5.0
-4,-1,4,3,4,4,3.0
-2,-2,1,3,-5,-3,45.0
-1,-3,1,-5,0,2,-0.0
4,1,-3,1,3,2,-0.5
-3,-4,5,-5,-5,1,6.666666666666667
0,-1,-3,1,5,0,inf
3,-1,4,2,-1,5,0.8333333333333334
-2,1,1,5,-5,1,12.5
-1,3,5,-4,0,3,0.0
-2,-1,-5,2,-1,2,0.4
5,2,-5,3,-2,-4,-1.92
3,-1,0,2,-2,-3,inf
-5,-1,1,-3,-2,4,4.800000000000001
1,1,0,-4,2,1,inf
-5,0,2,2,-1,-3,inf
1,-1,4,5,4,3,-15.0
1,1,5,4,4,-3,-9.6
4,1,1,-3,-4,-5,-15.0
-3,2,-1,-3,-2,1,4.0
-2,-4,-1,4,-4,-4,-128.0
5,-5,-1,-2,4,4,-32.0
