rows,50000
columns,3
x1,x2,F11
-4,-4,(-3.5708154506437775-2.197424892703863j)
-1,2,-0.14644660940672624
-2,0,-1.1428571428571428
3,-5,(1.0862068965517242+1.7348803273705269j)
-3,5,-1.9040446289868243
-2,-2,(-0.8089887640449438-0.25424064042662387j)
0,-5,(-0+0j)
-4,3,-5.7162494385306175
2,0,2.6666666666666665
0,2,0.0
-1,4,-0.1
3,3,6.434465977426117
-5,-5,(-5.357142857142857-3.9929785312496247j)
-4,5,-4.215979383485621
-1,-2,(-0.1111111111111111-0.03928371006591932j)
2,5,0.8714274305784429
5,4,31.25
5,-2,(20.83333333333333+29.46278254943949j)
-2,3,-0.8699290346957322
0,-4,0j
2,-2,(1.2121212121212122+0.6856793029687736j)
5,-3,(10.416666666666664+18.042195912175806j)
-1,5,-0.08209951522176571
-5,0,-12.5
-4,0,-7.111111111111111
-5,0,-12.5
-1,-1,(-0.13999999999999999-0.019999999999999997j)
-1,-2,(-0.1111111111111111-0.03928371006591932j)
-4,4,-4.923076923076923
5,-2,(20.83333333333333+29.46278254943949j)
5,-4,(6.249999999999998+12.500000000000002j)
-2,-5,(-0.35687732342007433-0.33250081449811003j)
4,-5,(2.385093167701863+4.44435871304306j)
-2,4,-0.7272727272727273
-5,2,-11.54368945369154
-3,2,-3.058302415423317
-4,4,-4.923076923076923
3,0,13.5
-4,-3,(-4.491228070175438-1.9447588014808448j)
3,-4,(1.6199999999999999+2.1600000000000006j)
-5,4,-8.928571428571429
5,-5,(4.166666666666665+9.316949906249125j)
4,-3,(5.953488372093023+7.7338082570517335j)
5,-4,(6.249999999999998+12.500000000000002j)
2,3,1.539600717839002
0,0,0.0
-5,5,-7.725424859373685
3,0,13.5
5,-1,(62.5+62.5j)
0,1,0.0
-3,-2,(-2.5-0.7071067811865475j)
2,-1,(1.8823529411764706+0.47058823529411764j)
-5,2,-11.54368945369154
-3,3,-2.6480577065395305
4,-4,(3.5955056179775275+5.752808988764046j)
-2,1,-1.1428571428571428
-5,-2,(-9.868421052631579-2.3260091486399594j)
-5,4,-8.928571428571429
3,3,6.434465977426117
5,1,inf
5,2,150.88834764831847
-5,-5,(-5.357142857142857-3.9929785312496247j)
-4,2,-6.511723512591313
-3,-2,(-2.5-0.7071067811865475j)
0,4,0.0
0,4,0.0
-3,5,-1.9040446289868243
-5,5,-7.725424859373685
-2,-3,(-0.6299212598425197-0.3273166880445123j)
5,-3,(10.416666666666664+18.042195912175806j)
1,-2,(0.13636363636363638+0.06428243465332252j)
5,4,31.25
-2,0,-1.1428571428571428
5,-4,(6.249999999999998+12.500000000000002j)
3,2,9.545941546018392
5,4,31.25
-4,0,-7.111111111111111
-4,4,-4.923076923076923
4,-5,(2.385093167701863+4.44435871304306j)
4,2,35.00276228339374
3,2,9.545941546018392
-5,2,-11.54368945369154
-2,-3,(-0.6299212598425197-0.3273166880445123j)
2,0,2.6666666666666665
4,3,20.024076306661932
-5,-1,(-11.270491803278688-1.0245901639344261j)
3,4,4.5
5,-2,(20.83333333333333+29.46278254943949j)
0,2,0.0
-2,-1,(-0.9846153846153847-0.12307692307692308j)
1,-3,(0.09210526315789473+0.06837042661456096j)
-2,1,-1.1428571428571428
-1,2,-0.14644660940672624
1,-4,(0.0625+0.06250000000000001j)
-5,-3,(-8.290816326530612-3.313872718562903j)
-3,-2,(-2.5-0.7071067811865475j)
1,2,0.20710678118654754
0,0,0.0
3,5,3.300596353124755
-5,-3,(-8.290816326530612-3.313872718562903j)
-4,-5,(-2.791277258566978-2.2291020336446503j)
-3,-3,(-2.0067567567567566-0.9479467257640477j)
2,4,1.1428571428571428
0,2,0.0
-2,1,-1.1428571428571428
2,-1,(1.8823529411764706+0.47058823529411764j)
-5,3,-10.249133961894136
-4,-1,(-6.336633663366337-0.6336633663366337j)
3,3,6.434465977426117
0,-4,0j
-3,1,-3.375
-5,0,-12.5
-1,-3,(-0.08333333333333333-0.04811252243246881j)
-5,0,-12.5
4,-1,(25.6+12.8j)
5,-1,(62.5+62.5j)
-1,4,-0.1
3,0,13.5
