rows,1000
columns,6
x1,x2,x3,x4,x5,F18
-5,4,2,4,-2,320
-3,-2,0,0,4,0
5,-3,-3,-4,2,-360
-2,-5,-5,5,0,0
0,-2,5,-3,-1,0
3,2,0,-4,-5,0
-3,2,1,3,3,-54
4,-3,0,-4,-2,0
1,5,-1,-5,0,0
5,-3,-3,-3,1,-135
3,2,-3,0,3,0
2,3,-2,1,2,-24
-5,1,-4,4,3,240
-5,5,1,-2,1,50
3,-2,-4,1,0,0
-5,3,-3,4,0,0
2,3,0,-1,3,0
4,-1,-3,1,-3,-36
-4,-4,2,4,-1,-128
-3,-4,2,1,5,120
3,3,5,-3,-2,270
0,-1,5,-2,-1,0
1,1,-1,-3,0,0
0,2,-5,-5,-1,0
5,2,5,4,-4,-800
-1,-2,-4,-1,3,24
-3,2,2,4,3,-144
3,-1,-5,-4,-1,60
-3,5,2,3,4,-360
-4,0,-2,0,4,0
-1,3,-4,-4,1,-48
-5,5,-2,2,-1,-100
-4,2,4,-5,4,640
4,-1,-3,1,1,12
2,-1,5,-4,4,160
2,-4,-1,4,3,96
0,1,-2,3,0,0
-4,5,-4,-5,-5,2000
-2,-5,-2,5,5,-500
-3,5,-5,0,-3,0
-4,-3,1,0,-3,0
-2,-4,-3,0,-5,0
5,-3,1,3,3,-135
-4,4,-3,0,-5,0
-1,-2,2,-4,5,-80
-1,0,4,-2,-2,0
3,4,-3,3,-3,324
-3,3,-5,2,4,360
-2,5,0,-4,-3,0
1,3,1,-4,-3,36
-3,-4,-5,5,-5,1500
5,-2,-3,4,5,600
-4,-4,-3,3,2,-288
1,1,0,-3,2,0
5,-2,-4,-3,4,-480
4,2,3,2,1,48
3,4,5,3,-1,-180
0,5,5,2,-5,0
5,1,1,1,3,15
-3,3,0,-3,-5,0
5,5,-3,-2,5,750
-5,4,-3,-1,3,-180
-3,3,0,0,4,0
1,2,-4,0,-3,0
4,-1,-4,-2,1,-32
-1,4,-4,5,-4,-320
5,-2,2,-2,-3,-120
-2,-1,5,-4,-1,40
1,-4,1,0,-3,0
-2,1,-1,2,-4,-16
4,3,5,4,-5,-1200
-5,-2,1,5,0,0
1,-2,-4,4,0,0
-4,-3,3,5,-3,-540
4,0,-3,1,-3,0
0,2,2,4,-3,0
0,-2,3,5,2,0
-2,1,3,-4,4,96
3,3,1,1,4,36
0,2,-3,5,-1,0
2,2,-2,5,5,-200
1,-1,-1,-2,0,0
1,3,-2,-1,0,0
5,4,-3,-5,-4,-1200
-2,-5,-1,-4,5,200
2,3,0,-2,5,0
-4,3,-3,5,0,0
4,0,-2,2,0,0
-5,5,5,-1,-2,-250
5,0,0,-2,-1,0
0,-4,0,-3,2,0
-2,-1,1,-5,-5,50
3,3,2,-3,5,-270
5,4,0,-4,-1,0
3,1,2,-4,5,-120
-2,0,5,5,-2,0
1,2,-3,-4,-4,-96
-3,-1,5,1,5,75
-3,3,2,5,-1,90
0,-2,0,4,5,0
-4,4,-2,5,1,160
-2,-3,-3,-5,0,0
0,5,3,-1,-4,0
-1,-5,5,-3,-2,150
-4,-3,-4,4,2,-384
-1,-5,-4,2,4,-160
4,0,-1,-2,-5,0
-4,3,-5,1,-5,-300
0,5,-5,-1,1,0
0,3,4,1,2,0
-2,1,5,3,-4,120
4,-3,-4,2,-2,-192
-4,-1,-4,0,1,0
4,-2,-5,5,2,400
5,4,-3,-4,4,960
-4,2,4,0,4,0
-3,2,1,-5,-2,-60
0,-2,5,-1,1,0
-4,-1,-1,4,-2,32
-5,4,0,-2,-4,0
-1,-3,-2,5,-3,90
-2,1,-2,0,4,0
-1,3,-3,-5,5,-225
-4,-5,2,-1,3,-120
-3,-3,-3,-5,-5,-675
-4,4,2,2,-1,64
5,0,1,1,-5,0
1,2,-3,5,1,-30
0,2,5,0,2,0
3,-5,1,0,-4,0
2,-4,1,4,3,-96
4,-4,-4,1,-1,-64
-1,-3,2,3,3,54
-1,-2,-2,4,-5,80
0,-3,-2,2,-4,0
-1,-2,4,-1,-3,24
3,5,0,-4,1,0
5,1,-4,-1,-3,-60
-3,-5,0,0,1,0
0,2,2,2,-1,0
1,-3,1,-3,2,18
0,1,-2,2,-4,0
5,3,0,-1,5,0
-3,-1,-4,4,0,0
5,5,-1,5,5,-625
1,4,4,4,-4,-256
0,0,-5,0,1,0
1,4,-5,0,-4,0
0,-5,5,-1,-3,0
-5,-4,3,-4,-4,960
-2,-2,4,3,-1,-48
-4,3,0,-1,-4,0
5,5,0,-3,3,0
0,-4,4,4,0,0
-1,-2,2,3,0,0
-3,4,2,5,-1,120
5,-5,2,-1,0,0
0,-2,-4,4,-3,0
-1,-4,-3,-1,-1,-12
1,0,0,5,2,0
-2,-3,-2,-5,-2,-120
1,3,0,-1,-1,0
0,-2,-2,-3,1,0
1,-1,3,-1,-4,-12
-2,-3,1,-1,2,-12
3,2,-5,1,0,0
1,-4,-5,-3,5,-300
-1,2,-2,3,2,24
4,5,-1,5,1,-100
4,5,1,4,0,0
-3,-1,-4,1,2,-24
4,-2,0,3,5,0
-1,0,-1,-5,-2,0
1,0,5,-5,-2,0
4,-1,-1,0,0,0
-4,4,-5,-1,-5,400
-4,-5,5,-3,5,-1500
2,0,4,-2,1,0
4,4,-1,-5,-1,-80
1,4,-1,-5,2,40
-3,4,-5,2,-5,-600
-5,4,-5,-2,3,-600
1,-3,-3,0,5,0
-1,-4,4,4,1,64
0,-5,0,4,0,0
0,-2,1,-2,5,0
-4,1,4,-4,2,128
-4,0,-4,-3,-4,0
-5,0,0,-3,-5,0
-3,-4,-3,4,-2,288
4,3,-1,-3,-1,-36
5,0,4,-2,-3,0
1,1,-2,-4,-2,-16
4,0,-2,2,-1,0
-3,-4,1,5,-3,-180
0,-4,5,5,-1,0
2,4,1,-3,1,-24
5,-4,-5,-3,1,-300
1,-3,-1,-3,-2,18
1,-2,5,-3,-2,-60
3,4,4,4,3,576
2,-2,3,0,1,0
-4,-5,5,-3,-5,1500
-1,-4,4,2,-1,-32
3,3,-5,0,1,0
-4,-1,-4,-3,0,0
3,4,1,5,0,0
5,2,2,0,-4,0
-1,3,4,1,1,-12
-5,-2,2,-2,-1,40
-4,5,-3,1,1,60
1,-3,-1,-4,4,-48
0,2,-3,-4,5,0
3,-5,3,1,-4,180
5,-5,3,-5,-4,-1500
-3,-3,3,5,4,540
5,-1,-3,4,-2,-120
-5,-3,-3,-5,0,0
4,-4,3,-5,0,0
5,-5,-3,4,5,1500
2,3,-3,1,3,-54
4,-3,0,-1,1,0
0,5,-5,0,2,0
2,-5,1,3,0,0
5,-4,-4,2,0,0
-4,4,1,-4,3,192
4,1,-2,3,3,-72
-2,-5,-2,1,-5,100
-3,-2,-5,4,-1,120
5,3,0,0,2,0
-4,3,3,1,2,-72
-2,-1,-4,0,3,0
-5,0,-3,0,4,0
5,-1,0,2,0,0
-4,-3,-2,-4,-5,-480
-4,-2,5,-4,2,-320
2,-3,4,-2,0,0
-2,-5,5,5,-3,-750
4,-4,3,-3,5,720
3,-2,-2,4,-3,-144
0,-5,4,0,-4,0
-2,5,1,0,0,0
-4,5,-4,-3,2,-480
-1,3,5,-4,-3,-180
4,-2,-1,0,5,0
-5,5,-5,-1,4,-500
5,5,5,-5,3,-1875
3,-1,4,-5,-2,-120
5,1,-3,1,5,-75
-2,-4,5,-4,-3,480
5,5,2,5,4,1000
-2,5,-2,-3,3,-180
5,1,-5,-5,-3,-375
4,2,-3,5,-5,600
2,4,2,-5,4,-320
-1,4,-2,3,5,120
-3,-3,-2,-2,-1,-36
5,0,5,2,2,0
-4,-3,4,5,-5,-1200
0,-5,-5,-3,2,0
2,-3,0,-4,5,0
-1,2,-5,0,4,0
-4,-2,4,2,-3,-192
-1,1,5,1,-5,25
-5,-3,-4,2,3,-360
-3,-1,2,-2,0,0
5,5,-5,-5,-1,-625
