rows,100
columns,3
x1,x2,F11
-5,-4,-48.0
3,0,2.4000000000000004
3,3,12.899999999999999
-1,-4,-27.200000000000003
-4,-4,-36.8
-4,-5,-66.3
-1,0,0.8
5,1,19.5
-4,-4,-36.8
-3,5,55.1
4,-3,-1.6999999999999993
0,-2,-2.0
3,3,12.899999999999999
1,0,-0.8
-2,2,2.4
-3,3,8.1
4,-3,-1.6999999999999993
1,3,9.7
1,1,-1.3
0,-3,-10.5
4,4,36.8
4,-3,-1.6999999999999993
1,0,-0.8
-5,5,37.5
4,1,8.3
-5,2,-18.0
0,-3,-10.5
4,2,10.8
0,3,10.5
4,-2,6.800000000000001
3,3,12.899999999999999
-4,-3,-19.3
5,-3,9.5
-5,-4,-48.0
-2,1,-0.10000000000000009
5,-2,18.0
-2,-5,-57.099999999999994
-5,1,-20.5
2,-4,-28.4
5,-4,-8.0
0,4,28.0
-5,3,-9.5
-2,0,0.3999999999999999
-2,-1,0.8999999999999999
-2,-2,-1.5999999999999996
-3,2,-0.40000000000000036
-4,5,48.7
-3,2,-0.40000000000000036
3,0,2.4000000000000004
-1,1,0.30000000000000004
-3,2,-0.40000000000000036
5,-4,-8.0
-3,-2,-4.4
-1,5,58.3
-2,4,28.4
2,-2,-2.4
-4,-5,-66.3
-3,5,55.1
5,5,77.5
-4,1,-9.3
1,0,-0.8
-3,-5,-59.900000000000006
4,4,36.8
-1,1,0.30000000000000004
1,3,9.7
-2,3,10.9
-3,-3,-12.899999999999999
-4,-1,-8.3
-2,-3,-10.1
-4,3,1.6999999999999993
-3,1,-2.9000000000000004
-2,3,10.9
-2,-1,0.8999999999999999
-2,2,2.4
5,-3,9.5
1,-5,-58.3
1,0,-0.8
-1,-1,1.3
-1,-2,-1.2000000000000002
5,-5,-37.5
1,-5,-58.3
2,-3,-10.9
3,-5,-55.1
-5,5,37.5
-2,3,10.9
2,-2,-2.4
3,3,12.899999999999999
1,-3,-11.3
3,-2,0.40000000000000036
0,-5,-57.5
2,5,57.099999999999994
5,1,19.5
0,-3,-10.5
-2,-1,0.8999999999999999
3,-2,0.40000000000000036
4,-1,9.3
5,-1,20.5
-3,5,55.1
3,0,2.4000000000000004
1,5,56.7
