rows,1000
columns,11
x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,F20
-3,-2,-3,0,-4,-1,-2,-1,-3,-4,-4.5
-5,4,-4,3,-4,3,5,0,1,4,1.6666666666666665
-3,0,4,5,2,5,-3,-4,-2,-2,-0.7666666666666666
-5,1,1,-5,0,1,-1,5,-1,-1,-0.19999999999999996
5,4,2,-1,-1,0,-4,3,2,4,-0.21666666666666679
-5,-4,5,2,1,4,2,-3,-2,-5,0.9666666666666668
5,-2,2,3,3,1,1,5,3,1,4.4
-5,-5,5,-4,2,1,-2,0,-2,-3,-0.28333333333333327
-5,-3,5,2,1,-3,-1,1,-3,-3,0.1666666666666669
-5,-2,2,0,-5,0,2,-4,-1,3,-0.8166666666666667
-2,-4,1,-4,0,-2,0,-1,-5,5,-1.5
2,-1,-3,0,0,5,2,5,3,-1,-0.6
-4,0,1,-1,0,2,1,2,-5,-4,1.3
-5,-4,3,-4,3,-2,3,2,2,3,1.133333333333333
0,-2,-4,-3,4,-2,-2,0,3,0,-1.5
5,5,-1,2,-1,4,-3,2,1,-4,0.06666666666666665
1,0,4,4,0,0,5,1,1,0,3.7
3,-2,5,-1,-3,0,0,-5,2,3,-0.6666666666666667
-5,-1,1,4,-4,2,1,5,4,-4,1.5
5,-4,3,-3,5,-1,0,-2,1,3,-0.016666666666666774
1,0,-4,-3,5,3,-2,0,1,-4,1.2
-4,2,-1,2,-1,4,-2,0,-1,-4,-2.75
5,-4,0,3,4,-5,3,-4,-4,5,0.36666666666666664
-2,-5,1,-5,2,3,0,1,-2,0,1.4333333333333333
5,-4,-2,-4,0,2,-3,-3,5,2,-0.2666666666666666
0,-1,-1,4,-3,-4,-2,4,-2,-2,-3.5833333333333335
1,2,-2,4,-2,-1,-4,-4,1,-4,0.0
2,-3,-5,5,0,0,-4,0,-4,4,-0.08333333333333331
-1,-5,0,5,-3,1,-2,2,-2,2,-0.33333333333333326
1,-5,3,1,2,0,-2,5,4,-3,2.25
5,3,4,-5,-5,-5,-4,4,4,-4,0.18333333333333324
3,0,4,1,-5,4,2,3,-4,2,2.716666666666667
-1,5,5,-1,-3,2,5,2,-3,-4,-1.3166666666666667
3,1,5,5,-4,4,-5,4,-3,-3,1.1166666666666667
0,5,3,1,3,-4,1,-2,1,2,3.6166666666666663
5,-1,-3,-5,4,3,-5,2,-4,4,-0.44999999999999996
0,-5,3,-5,3,1,-3,1,1,-5,2.7333333333333334
-3,3,0,4,0,-2,-5,5,4,3,0.3333333333333333
4,2,5,-5,-4,1,0,2,2,-2,2.0
2,0,-5,-3,2,5,-3,-1,-2,-1,-2.1666666666666665
5,-3,-5,-2,5,2,-5,3,-4,4,0.0
-3,4,-2,3,4,0,4,4,-3,1,1.1666666666666667
-2,-3,-1,-5,-4,-5,-1,-3,5,-2,-4.116666666666667
-5,5,-4,-1,4,-4,-3,1,1,2,0.9166666666666667
-3,-3,2,4,-3,-1,2,1,0,-2,-0.25
-5,-3,2,-4,-2,-4,3,-4,2,-3,-0.7833333333333332
0,-4,2,2,5,1,1,2,-5,2,3.75
3,-2,2,1,-5,-3,-5,-4,-5,1,1.1500000000000001
5,5,1,1,1,-2,-3,5,3,2,3.6
1,0,4,-2,4,-2,0,-3,4,-1,-0.5833333333333333
0,5,-5,-1,-3,-5,-3,3,0,-1,-2.533333333333333
-3,3,3,5,-3,4,-1,-4,5,-1,-1.6
-5,-5,2,-1,3,5,-3,5,5,1,0.7000000000000001
-1,5,-4,3,3,-1,2,-5,5,1,0.11666666666666647
2,0,2,-2,5,-2,1,5,4,2,2.15
-3,-5,-2,3,-4,-1,4,-1,1,2,-1.2000000000000002
3,-5,-3,-4,-2,-1,3,5,-3,3,-1.4166666666666667
-2,-3,5,5,-3,-5,-5,3,1,-2,-0.33333333333333326
-4,-4,-2,3,1,4,3,-5,2,5,1.4166666666666665
-2,-5,-3,-1,-1,-2,-3,0,0,3,-3.533333333333333
-4,-3,2,3,-5,-3,-5,1,-3,2,0.6833333333333333
-1,-2,-3,-3,2,3,-2,-4,-1,-4,-3.333333333333333
-5,-5,5,-4,0,1,2,-1,5,3,0.5833333333333334
-2,5,2,1,3,2,3,-2,-4,0,1.6166666666666667
2,4,-5,0,-4,3,-1,-2,-2,-3,-1.7
4,-5,-4,-3,-2,-1,3,-1,-4,2,-2.45
5,-1,-5,0,5,1,5,5,5,-5,0.6000000000000001
3,-4,-1,-4,-5,4,3,-1,-5,1,-0.9833333333333334
5,-3,3,2,-1,-3,1,2,2,-3,1.0333333333333334
1,4,2,-1,2,-3,-2,1,2,1,2.916666666666667
5,-3,-2,4,-3,0,-3,0,2,3,-0.2166666666666665
5,-3,5,-4,-1,-2,-2,-2,-3,-3,-3.3500000000000005
0,-1,-4,-1,-5,-5,1,2,-5,5,-1.1500000000000004
-1,4,1,-1,3,-3,-1,-2,2,0,-1.75
1,5,3,1,-4,4,5,1,3,5,4.266666666666667
5,-4,-4,4,1,5,3,-3,-4,1,1.9
-2,-5,0,2,-5,5,-4,3,5,-2,-0.41666666666666663
5,2,5,-2,4,5,-5,-5,-4,-3,-0.13333333333333341
-4,-1,-1,-3,-1,0,3,-5,-3,5,-3.5833333333333335
-4,3,0,3,0,-5,4,-2,-3,-4,-0.6166666666666667
5,2,1,-2,-1,-3,-3,3,4,1,1.1166666666666667
5,3,-5,-1,-5,0,-1,0,3,4,-1.2833333333333334
3,-1,-3,1,-2,5,5,0,-3,-3,-0.7666666666666666
-5,-2,4,5,-4,3,1,-1,-3,-1,-1.5
0,4,3,4,-5,1,-4,2,-3,-2,1.05
-2,4,2,4,0,-1,4,-1,1,-2,-0.75
-1,4,3,-1,1,1,-1,-3,-3,-1,-2.083333333333333
-2,-3,5,5,-5,-4,4,5,3,4,0.15000000000000002
-4,-2,-2,-4,-1,0,-1,-1,-4,-2,-5.25
-4,-4,-3,5,0,-4,5,-5,-1,-2,-2.3833333333333333
-4,0,-4,1,-2,-2,3,0,3,-4,-0.08333333333333337
4,1,0,3,3,3,-2,0,3,5,2.2833333333333337
5,-4,1,-4,-2,0,0,-3,1,3,1.2
-4,-5,0,-3,3,2,5,1,-2,-4,0.5
-2,-2,-3,5,-2,0,-1,-4,-2,-1,-4.383333333333333
4,4,2,-1,1,4,5,5,0,-1,0.6499999999999999
-2,4,-5,1,2,4,5,3,3,-2,1.6666666666666665
0,1,2,-2,2,0,0,-1,4,-2,0.25
-5,5,-1,4,5,2,5,4,5,1,1.6
1,0,-4,0,-1,5,0,1,2,-2,0.95
2,-3,2,-2,-1,-2,1,4,-1,-5,-1.2833333333333332
-5,2,5,2,0,3,4,5,1,5,2.9833333333333334
1,-4,-1,0,5,0,0,2,-2,4,0.2
0,-1,-4,-3,1,-5,-4,-5,5,5,-0.8333333333333333
4,-4,0,-2,-1,5,-5,4,1,-5,-0.45
1,5,5,2,-5,-3,3,-5,-5,-1,0.30000000000000004
-1,-5,2,-1,-5,2,4,-2,4,3,-1.0666666666666667
0,-3,-1,5,-1,-3,4,3,1,-4,-1.1333333333333335
2,2,-2,-2,2,3,-1,4,2,0,0.5833333333333333
5,-5,-3,5,-1,4,-5,0,-1,3,-1.7499999999999998
4,2,3,0,5,4,-4,1,-5,4,2.333333333333333
-4,-2,-4,-2,5,3,0,1,1,3,1.3666666666666665
-1,4,-5,-5,0,3,-3,5,0,5,-0.75
-1,1,-5,-5,2,-2,4,-1,0,-4,-1.4
