rows,100
columns,11
x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,F20
5,-1,3,0,2,-1,2,-3,-2,4,-1.05
0,3,-5,2,1,-4,-3,-2,5,-4,0.5
-1,5,-1,5,0,-4,5,0,2,2,-0.6500000000000001
-3,-2,-2,1,4,5,-3,-4,-2,-4,-1.2166666666666666
-4,3,1,2,2,-2,1,-3,-2,-3,1.4166666666666663
0,1,-4,-2,-1,4,-3,-3,-2,1,-0.6666666666666665
1,-3,3,-4,3,5,0,-4,-5,-4,0.5833333333333333
-2,5,-4,5,-3,-4,-5,2,-4,-5,-1.0833333333333333
-5,-3,-5,-5,4,-1,1,-2,0,3,-0.8500000000000001
-5,5,-5,-3,-1,5,5,-1,4,1,-0.8833333333333333
-2,5,1,3,1,-1,-1,3,2,-5,0.6666666666666665
-3,2,-3,4,-5,-4,-1,-5,-2,2,-1.5666666666666664
5,2,-4,1,0,1,4,0,-3,-3,2.033333333333333
-2,-2,-5,1,-1,3,-5,2,0,-5,-0.7666666666666666
1,-5,-2,-4,5,-1,-3,-1,3,-2,-2.25
-4,-4,-1,1,-4,4,-4,-4,0,2,-0.5
4,-5,4,-3,-5,-5,3,0,3,3,0.5666666666666667
-2,3,3,5,-4,-4,1,-3,-2,2,0.5333333333333334
-4,0,2,3,2,-4,-1,0,5,3,0.3666666666666666
3,5,2,-4,4,5,-5,-2,4,-1,-0.21666666666666679
5,4,-2,0,0,-3,4,4,4,-2,-0.1333333333333333
2,1,-4,-3,-2,-3,5,-4,4,4,0.5333333333333334
0,-4,-1,3,2,4,-2,3,5,3,0.1999999999999999
-1,1,-4,4,-4,-2,-5,-3,-4,-3,-1.8666666666666665
1,-1,-2,1,-1,-2,1,3,1,-3,1.0
-2,0,2,0,5,-4,-3,4,2,1,1.3666666666666667
5,-3,1,-3,-3,-5,-5,5,5,-5,1.1102230246251565e-16
4,-5,-3,-4,3,0,-4,2,1,3,1.3833333333333333
-4,5,3,2,-5,2,-3,-4,4,-1,-0.25
-5,4,-2,4,-1,-5,-4,1,1,-1,-0.6499999999999999
-2,-2,-3,-2,-1,-1,5,5,-5,-1,-4.633333333333333
4,4,-1,3,1,-3,-3,0,-3,-2,-0.6666666666666667
3,-4,3,-5,-5,-4,3,-3,-2,2,-0.2333333333333334
2,1,-4,3,-3,0,2,5,-2,-5,1.25
