rows,500
columns,11
x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,F20
-3,-3,-1,0,5,-2,1,0,1,-2,-0.46666666666666656
0,-3,0,1,-5,5,-4,4,2,1,2.166666666666667
3,-2,3,-4,-4,-4,1,5,-1,4,-0.1333333333333333
-3,5,0,-5,-5,3,-2,0,4,2,0.050000000000000044
0,-2,3,-2,4,0,5,-3,-5,5,-0.55
-3,1,-2,-3,-1,2,-5,3,-3,-4,-1.1166666666666665
-1,3,-4,4,-4,5,0,3,1,-2,0.11666666666666647
2,-2,-4,2,-1,3,2,-2,-2,-2,-1.4166666666666667
4,2,-1,-3,2,5,-4,1,0,3,1.2
-4,3,2,5,-4,1,1,-5,4,-5,2.383333333333333
4,1,-5,4,0,-3,-5,-2,1,2,1.7666666666666668
3,-5,-1,-3,4,-4,2,-3,-3,3,-1.0333333333333332
-2,0,-2,-2,-2,2,4,-2,5,5,-1.35
0,4,-1,-5,5,4,3,-5,-5,3,-0.23333333333333334
-1,-3,-1,5,3,-3,-5,-5,-5,-1,-3.7333333333333334
-1,1,4,4,-3,5,-5,-5,-4,-2,-0.7833333333333333
-2,-2,-5,1,-3,-3,0,-3,4,1,0.050000000000000266
4,-5,1,-1,-3,0,1,2,-4,-4,0.7166666666666668
-1,-1,0,-1,5,2,-5,-1,1,3,-2.1666666666666665
-5,0,5,-1,2,-5,0,5,-5,5,-0.49999999999999994
-1,5,1,-1,-1,-1,-5,-4,3,-4,-3.1666666666666665
4,4,-2,-5,-3,-1,-2,-1,5,-1,-3.833333333333333
-2,-2,-5,5,5,5,2,5,-5,0,-0.10000000000000009
-2,-2,-4,-4,-5,0,-2,0,-5,-5,-2.6000000000000005
5,1,4,-5,5,1,2,-4,-4,-2,1.9500000000000002
-4,-3,-4,0,4,1,-1,2,-4,-5,-0.5333333333333332
1,-2,-1,4,1,-5,-5,-5,-3,-4,-0.4333333333333333
4,4,4,-3,2,3,-1,-3,-2,-1,-1.5833333333333333
3,3,5,1,2,3,2,-3,-4,-5,2.4166666666666665
0,2,-5,-4,-3,-5,-1,-2,-3,4,-2.066666666666667
