rows,500
columns,4
x1,x2,x3,F4
3,2,-1,4.285714285714286
1,4,4,-0.0
1,1,-3,-0.0
-3,-1,3,18.46153846153846
4,-2,-5,22.5
-1,-4,4,1.0227272727272727
1,0,-1,inf
5,3,2,-2.6666666666666665
3,5,-4,1.7142857142857142
-4,-3,0,-1.1904761904761905
5,-5,-3,3.84
5,2,-4,30.0
-2,2,5,7.5
0,0,-2,inf
0,1,4,9.0
0,2,1,-0.0
-4,-4,-4,-3.3482142857142856
-1,-3,5,2.4242424242424243
2,-2,-4,4.6875
-2,1,5,30.0
-1,-1,0,-5.454545454545454
-5,-1,-4,-60.0
0,-2,-1,-1.5
-1,-3,0,-0.6060606060606061
3,1,-3,34.285714285714285
-3,-1,-5,-55.38461538461539
-5,1,-4,-60.0
-3,1,-4,-46.15384615384615
5,5,-5,5.76
1,-4,0,-0.0
-3,3,5,4.102564102564102
4,-2,-3,15.0
-1,2,3,2.727272727272727
2,2,0,0.9375
-5,5,5,1.92
-3,3,-1,-2.051282051282051
-4,4,-1,-1.3392857142857142
-1,1,4,16.363636363636363
3,0,-3,inf
-3,3,-5,-6.153846153846154
-1,2,-4,-6.818181818181818
-1,3,-4,-3.0303030303030303
-5,4,4,2.25
2,-1,-3,15.0
-4,-4,-2,-2.0089285714285716
0,-1,-5,-18.0
-2,3,5,3.3333333333333335
-4,1,2,10.714285714285714
-1,5,-2,-0.6545454545454545
1,-3,3,-0.0
-3,5,0,-0.36923076923076925
5,5,2,-0.96
1,-2,3,-0.0
-3,2,3,4.615384615384615
0,-3,4,1.0
0,3,-5,-2.0
-4,-4,-2,-2.0089285714285716
-5,0,-4,inf
-4,-5,3,0.8571428571428571
5,3,-2,8.0
4,-3,-2,5.0
4,-3,-3,6.666666666666667
-3,5,2,0.36923076923076925
2,5,2,-0.15
-2,3,-5,-5.0
2,3,3,-0.8333333333333334
-3,-1,-2,-27.692307692307693
4,-1,-5,90.0
2,-4,-3,0.9375
-2,0,-4,inf
-4,4,-4,-3.3482142857142856
2,-5,0,0.15
2,-2,1,-0.0
-4,-1,-1,-21.428571428571427
3,-5,1,-0.0
4,4,0,0.9375
-1,-1,4,16.363636363636363
5,-2,-3,24.0
1,0,2,inf
5,-1,3,-48.0
5,5,-2,2.88
3,-3,-5,5.714285714285714
-5,-2,4,9.0
-1,3,1,-0.0
5,-4,4,-4.5
-3,-2,-1,-4.615384615384615
5,3,-2,8.0
-5,-4,1,-0.0
0,-2,5,3.0
-4,0,-5,inf
5,2,-1,12.0
-3,1,5,36.92307692307692
5,-5,-4,4.8
0,-3,-2,-1.0
1,1,-1,-0.0
5,4,3,-3.0
-2,3,-5,-5.0
-5,-4,4,2.25
-2,-1,-5,-45.0
0,0,-2,inf
-2,0,-1,inf
3,-1,1,-0.0
-5,1,-2,-36.0
4,-1,1,-0.0
4,0,4,inf
-2,-5,1,-0.0
-2,4,-4,-2.34375
-5,3,5,5.333333333333333
-4,2,5,10.714285714285714
-1,5,-5,-1.309090909090909
0,-5,1,-0.0
-4,-1,-1,-21.428571428571427
-3,0,-4,inf
4,-5,-1,1.2
4,-5,-1,1.2
-2,-4,-3,-1.875
1,3,-2,-0.0
4,-1,3,-30.0
2,-5,2,-0.15
3,-4,5,-2.142857142857143
2,3,-5,2.5
0,-4,1,-0.0
1,4,5,-0.0
0,-2,1,-0.0
0,4,-3,-0.75
-1,5,-5,-1.309090909090909
-3,4,1,-0.0
1,-2,5,-0.0
-2,-5,3,0.6
-3,-2,2,2.3076923076923075
-2,-4,-2,-1.40625
-2,5,2,0.3
-5,2,-3,-12.0
4,-1,2,-15.0
0,-3,4,1.0
-3,-1,4,27.692307692307693
4,0,2,inf
4,-1,-4,75.0
0,-2,5,3.0
1,1,-1,-0.0
-5,-5,5,1.92
-4,0,-5,inf
-5,-1,2,12.0
3,-4,4,-1.6071428571428572
5,-4,-5,9.0
-4,5,-5,-2.5714285714285716
0,-5,-2,-0.36
0,4,-1,-0.375
4,-3,-3,6.666666666666667
2,-3,-4,2.0833333333333335
5,5,-5,5.76
5,2,4,-18.0
-2,-1,4,22.5
3,3,0,0.9523809523809523
1,-2,4,-0.0
3,-2,-3,8.571428571428571
-3,-4,0,-0.5769230769230769
1,2,-1,-0.0
-5,0,2,inf
4,-5,3,-1.2
0,-5,5,0.48
-3,-5,-3,-1.476923076923077
-4,2,0,-2.6785714285714284
5,-4,2,-1.5
4,1,4,-45.0
5,0,1,inf
-3,2,-1,-4.615384615384615
3,-3,-3,3.8095238095238093
1,0,0,inf
-5,3,-2,-4.0
-5,4,-3,-3.0
0,-3,-4,-1.6666666666666667
5,-2,4,-18.0
-1,4,-4,-1.7045454545454546
1,-5,2,-0.0
2,1,-4,18.75
0,0,2,inf
3,3,2,-0.9523809523809523
2,-2,5,-3.75
-2,-5,-5,-1.8
-3,-1,5,36.92307692307692
5,5,5,-3.84
-3,-2,-1,-4.615384615384615
1,5,4,-0.0
3,0,-5,inf
-4,3,5,4.761904761904762
-1,0,-4,inf
1,0,1,inf
0,1,1,-0.0
1,2,5,-0.0
-4,-4,1,-0.0
5,3,0,2.6666666666666665
-5,-4,3,1.5
4,-3,-4,8.333333333333334
3,-4,3,-1.0714285714285714
-1,-1,4,16.363636363636363
