rows,50
columns,4
x1,x2,x3,F4
-4,-1,-1,-21.428571428571427
3,-4,0,0.5357142857142857
-1,5,-2,-0.6545454545454545
4,-3,1,-0.0
-2,5,5,1.2
-5,-4,-2,-2.25
4,-1,1,-0.0
-4,2,5,10.714285714285714
-5,-4,-3,-3.0
2,2,5,-3.75
-5,3,0,-1.3333333333333333
-4,2,3,5.357142857142857
-5,-1,4,36.0
4,-4,-5,5.625
3,-1,-1,17.142857142857142
1,0,1,inf
-1,0,3,inf
2,0,3,inf
-1,3,-1,-1.2121212121212122
5,3,-4,13.333333333333334
2,0,2,inf
5,1,3,-48.0
-5,2,2,3.0
2,-1,-1,7.5
5,-5,5,-3.84
0,5,2,0.12
3,-5,4,-1.0285714285714285
3,-1,1,-0.0
3,-3,2,-0.9523809523809523
2,-4,1,-0.0
4,-4,-1,1.875
5,3,4,-8.0
-2,5,-5,-1.8
-2,4,5,1.875
3,2,2,-2.142857142857143
2,0,1,inf
1,1,-4,-0.0
2,-2,4,-2.8125
-2,2,3,3.75
2,3,-5,2.5
-4,0,1,inf
0,-5,-2,-0.36
-3,3,3,2.051282051282051
1,0,-1,inf
0,-2,3,1.5
-2,4,-4,-2.34375
5,-3,-3,10.666666666666666
1,-1,0,-0.0
-1,3,-2,-1.8181818181818181
1,-3,1,-0.0
